Method,Parameter,Seed,Trial ID,QD Score,Coverage
stochastic,0.3,7777,13,23.12634754218863,26.4
stochastic,0.3,8888,13,16.813593557608915,17.4
stochastic,0.3,9999,13,42.793664447736234,44.28
stochastic,0.3,42,13,2.5430453499194066,2.64
stochastic,0.3,Mean,Mean,28.450804963336743,30.339999999999996
stochastic,0.3,STD,STD,15.218794209161791,16.011138622846286
stochastic,0.4,1111,14,15.182887876673098,15.8
stochastic,0.4,2222,14,19.83597653917055,20.88
stochastic,0.4,3333,14,18.68916482306361,20.68
stochastic,0.4,4444,14,17.442030473779365,19.04
stochastic,0.4,5555,14,47.042452413513615,49.28
stochastic,0.4,6666,14,49.820357241960245,52.2
stochastic,0.4,7777,14,41.56114076701717,43.52
stochastic,0.4,8888,14,25.740313587112112,26.56
stochastic,0.4,9999,14,44.42172012187564,46.4
stochastic,0.4,42,14,7.785111901446061,7.96
stochastic,0.4,Mean,Mean,28.752115574561138,30.232
stochastic,0.4,STD,STD,14.592818556941042,15.182767073231414
stochastic,0.5,1111,15,13.514177627056698,14.32
stochastic,0.5,2222,15,10.925871117169908,12.48
stochastic,0.5,3333,15,15.176955495318083,16.64
stochastic,0.5,4444,15,15.831355728425091,17.24
stochastic,0.5,5555,15,4.372418480913238,4.92
stochastic,0.5,6666,15,11.019175081363983,11.4
stochastic,0.5,7777,15,11.9512578693441,12.76
stochastic,0.5,8888,15,21.014274967417933,22.32
stochastic,0.5,9999,15,22.3768421952161,23.32
stochastic,0.5,42,15,6.171482976619618,8.08
stochastic,0.5,Mean,Mean,13.235381153884475,14.347999999999999
stochastic,0.5,STD,STD,5.431474612824301,5.4821908029546
stochastic,0.6,1111,16,10.65764348813284,11.48
stochastic,0.6,2222,16,15.169988995364696,17.64
stochastic,0.6,3333,16,21.94691931043194,23.56
stochastic,0.6,4444,16,9.848502582801762,12.12
stochastic,0.6,5555,16,22.8416588203662,24.32
stochastic,0.6,6666,16,22.56890975971721,23.64
stochastic,0.6,7777,16,6.587965268737203,6.72
stochastic,0.6,8888,16,10.88216475837249,11.48
stochastic,0.6,9999,16,18.560778392547583,20.32
stochastic,0.6,42,16,7.030977923478634,7.64
stochastic,0.6,Mean,Mean,14.609550929995056,15.891999999999996
stochastic,0.6,STD,STD,6.122429453549665,6.464550719114206
stochastic,0.7,1111,17,5.728855934885468,6.2
stochastic,0.7,2222,17,19.903635206050918,21.0
stochastic,0.7,3333,17,14.56630271219424,14.96
stochastic,0.7,4444,17,4.0118977071362405,7.2
stochastic,0.7,5555,17,7.654440031989348,8.36
stochastic,0.7,6666,17,15.347650200390595,16.0
stochastic,0.7,7777,17,9.505202918857336,10.88
stochastic,0.7,8888,17,25.012503628668732,26.72
stochastic,0.7,9999,17,13.448492426970775,16.36
stochastic,0.7,42,17,9.402184497983873,10.12
stochastic,0.7,Mean,Mean,12.458116526512752,13.779999999999998
stochastic,0.7,STD,STD,6.201438299656235,6.200677382351061
stochastic,0.8,1111,18,13.436942862265074,14.48
stochastic,0.8,2222,18,10.255549071615311,10.88
stochastic,0.8,3333,18,8.159079143777872,8.76
stochastic,0.8,4444,18,16.347051363216153,17.76
stochastic,0.8,5555,18,13.154545379106427,14.24
stochastic,0.8,6666,18,19.955756010293523,20.32
stochastic,0.8,7777,18,15.801757846104643,16.8
stochastic,0.8,8888,18,12.915551871302117,14.76
stochastic,0.8,9999,18,14.851011696113675,17.24
stochastic,0.8,42,18,6.2790658445506695,6.48
stochastic,0.8,Mean,Mean,13.115631108834545,14.172
stochastic,0.8,STD,STD,3.8351935632863245,4.083255563885268
stochastic,0.9,1111,19,9.145099540490852,9.52
stochastic,0.9,2222,19,7.07252394146176,7.28
stochastic,0.9,3333,19,10.20419524981292,11.24
stochastic,0.9,4444,19,9.951686386223596,10.4
stochastic,0.9,5555,19,6.95403567780595,8.36
stochastic,0.9,6666,19,11.24359982351762,13.0
stochastic,0.9,7777,19,11.878685328657319,12.84
stochastic,0.9,8888,19,16.23525898194467,17.36
stochastic,0.9,9999,19,17.78104719641309,18.36
stochastic,0.9,42,19,2.996764898397776,3.44
stochastic,0.9,Mean,Mean,10.346289702472555,11.18
stochastic,0.9,STD,STD,4.1348299223088745,4.269079526080534
