Method,Parameter,Seed,Trial ID,QD Score,Coverage
add_equal_noise,20,5555,25,42.01244849420164,44.24
add_equal_noise,20,6666,25,46.470214855924944,47.92
add_equal_noise,20,7777,25,51.81859739646653,54.84
add_equal_noise,20,8888,25,48.60683861809462,51.48
add_equal_noise,20,9999,25,47.91247056384488,49.88
add_equal_noise,20,42,25,48.11503759512705,51.4
add_equal_noise,20,Mean,Mean,45.44834940029488,47.888
add_equal_noise,20,STD,STD,6.155426953794798,6.456297390919969
add_equal_noise,25,1111,26,37.12576858993212,39.52
add_equal_noise,25,2222,26,50.37583224967362,52.6
add_equal_noise,25,3333,26,42.003112713586425,44.6
add_equal_noise,25,4444,26,44.190063399492786,46.32
add_equal_noise,25,5555,26,42.66780303450209,44.56
add_equal_noise,25,6666,26,52.82806742994221,55.4
add_equal_noise,25,7777,26,40.64433730252303,44.16
add_equal_noise,25,8888,26,51.11022797058106,54.0
add_equal_noise,25,9999,26,49.44391802684404,52.04
add_equal_noise,25,42,26,40.70820221715795,43.64
add_equal_noise,25,Mean,Mean,45.10973329342353,47.684000000000005
add_equal_noise,25,STD,STD,5.114806064962422,5.090428665643002
add_equal_noise,30,1111,27,30.00208454676661,32.12
add_equal_noise,30,2222,27,44.341151378508286,45.8
add_equal_noise,30,3333,27,46.49386791802149,49.56
add_equal_noise,30,4444,27,34.642714606263304,36.84
add_equal_noise,30,5555,27,45.132592905291084,47.96
add_equal_noise,30,6666,27,44.60409500908004,46.4
add_equal_noise,30,7777,27,13.816031921095512,16.8
add_equal_noise,30,8888,27,46.42361615533826,50.16
add_equal_noise,30,9999,27,49.274956748544504,52.12
add_equal_noise,30,42,27,28.86294854480888,31.84
add_equal_noise,30,Mean,Mean,38.3594059733718,40.959999999999994
add_equal_noise,30,STD,STD,10.710845979104253,10.710577948925073
